https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,n処理終了,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,申請者1,確認番号,許可年月日,申請区分,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,業種,施設-電話番号1,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋号または商号,営業者氏名,許可番号,許可年月日,申請種別,,施設所在地,,,業種,営業所電話番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
Ｂａａｎ　Ｋｈｕｍ　Ｍａｅ,Ｍｙｏ　Ｍｙａｎｍａｒ株式会社,3板保生食ほ 第  934号,令和03年12月21日,新規,東京都,板橋区板橋一丁目18番3号,板橋区板橋１丁目１８番３号,,飲食店営業,3964-0733,,198,Ｂａａｎ　Ｋｈｕｍ　Ｍａｅ,03,03-3964-0733,,,,東京都　板橋区板橋１丁目１８番３号,東京都板橋区板橋１丁目１８番３号,,75044,13,13119,板橋１,,,2021/12/21,,,Ｍｙｏ　Ｍｙａｎｍａｒ株式会社,,,,,,,,,,3板保生食ほ 第  934号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,ＢａａｎＫｈｕｍＭａｅ03-3964-07337504413119,0ba494a1-dad3-4d94-a5d2-175977ed836b,Ｍｙｏ　Ｍｙａｎｍａｒ株式会社,bb161940-ff74-4910-b333-50c890a9bdd1,9eab487e-bea3-4f14-ba52-aa73b9fa995d,2021/12/21,Ｂａａｎ　Ｋｈｕｍ　Ｍａｅ,ＢａａｎＫｈｕｍＭａｅ,Ｍｙｏ　Ｍｙａｎｍａｒ株式会社
つけそば周,藤田　周馬,3板保生食ほ 第  941号,令和03年12月21日,新規,東京都,板橋区板橋二丁目63番4号　グローリア初穂板橋１０７,板橋区板橋２丁目６３番４号, グローリア初穂板橋１０７,飲食店営業,6780-6002,,198,つけそば周,03,03-6780-6002,,,,東京都　板橋区板橋２丁目６３番４号,東京都板橋区板橋２丁目６３番４号, グローリア初穂板橋１０７,75045,13,13119,板橋２,,,2021/12/21,,,,藤田　周馬,,,,,,,,,3板保生食ほ 第  941号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,つけそば周03-6780-60027504513119,8a1fb8ea-4478-4979-9d9b-f16cb48cf8cc,,personal,174798ea-3985-4d23-a480-fbcdf27b5ad9,2021/12/21,つけそば周,つけそば周,
一五九,雨宮　一孝,3板保生食ほ 第  963号,令和03年12月27日,新規,東京都,板橋区大山町33番1号,板橋区大山町３３番１号,,飲食店営業,,,198,一五九,03,,,,,東京都　板橋区大山町３３番１号,東京都板橋区大山町３３番１号,,75055,13,13119,大山町,,,2021/12/27,,,,雨宮　一孝,,,,,,,,,3板保生食ほ 第  963号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,一五九7505513119,91ba27ea-949f-4b10-8d97-b0675a4c89f9,,personal,9b1fa235-d3f9-4572-bdc4-5fc1b9b09592,2021/12/27,一五九,一五九,
お酒の美術館　大山店,株式会社ＰＭＰ,3板保生食ほ 第  965号,令和03年12月28日,新規,東京都,板橋区大山東町25番17号　ベルドシールパインＢ１０２,板橋区大山東町２５番１７号, ベルドシールパインＢ１０２,飲食店営業,,,198,お酒の美術館　大山店,03,,,,,東京都　板橋区大山東町２５番１７号,東京都板橋区大山東町２５番１７号, ベルドシールパインＢ１０２,75057,13,13119,大山東町,,,2021/12/28,,,株式会社ＰＭＰ,,,,,,,,,,3板保生食ほ 第  965号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,お酒の美術館大山店7505713119,9393593c-8d31-48e8-b757-c601df25ad63,株式会社ＰＭＰ,48788f46-2e90-4f45-af29-06e14b7a5db0,d9629c8b-6afa-4e17-9442-cdce8e36de6a,2021/12/28,お酒の美術館　大山店,お酒の美術館大山店,株式会社ＰＭＰ
Ｃｕｔｅ　ａｎｄ,吉井　勇,3板保生食ほ 第  925号,令和03年12月21日,新規,東京都,板橋区大山東町45番4号　トレジャリィ遊座大山２Ｆ,板橋区大山東町４５番４号, トレジャリィ遊座大山２Ｆ,飲食店営業,6909-6539,,198,Ｃｕｔｅ　ａｎｄ,03,03-6909-6539,,,,東京都　板橋区大山東町４５番４号,東京都板橋区大山東町４５番４号, トレジャリィ遊座大山２Ｆ,75057,13,13119,大山東町,,,2021/12/21,,,,吉井　勇,,,,,,,,,3板保生食ほ 第  925号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,Ｃｕｔｅａｎｄ03-6909-65397505713119,3d0bd35c-4b97-4670-9c71-17d6b9839c91,,personal,bf235b2c-a33a-44cf-ae1f-6a7a0e7422a4,2021/12/21,Ｃｕｔｅ　ａｎｄ,Ｃｕｔｅａｎｄ,
筑波大学附属桐が丘特別支援学校,キョウワプロテック株式会社,3板保生食ほ 第  955号,令和03年12月20日,新規,東京都,板橋区小茂根二丁目1番12号,板橋区小茂根２丁目１番１２号,,飲食店営業,3958-0181,,198,筑波大学附属桐が丘特別支援学校,03,03-3958-0181,,,,東京都　板橋区小茂根２丁目１番１２号,東京都板橋区小茂根２丁目１番１２号,,75065,13,13119,小茂根２,,,2021/12/20,,,キョウワプロテック株式会社,,,,,,,,,,3板保生食ほ 第  955号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,筑波大学附属桐が丘特別支援学校03-3958-01817506513119,c061775d-9fd3-4fb8-95bc-339209b7c335,キョウワプロテック株式会社,8b7e6960-5426-41bf-9b55-d817e711fb68,0b0abfba-81c2-457f-b46e-464a5dd4b869,2021/12/20,筑波大学附属桐が丘特別支援学校,筑波大学附属桐が丘特別支援学校,キョウワプロテック株式会社
日光畜産株式会社,日光畜産株式会社,3板保生食ほ 第  845号,令和03年12月16日,新規,東京都,板橋区桜川一丁目5番4号,板橋区桜川１丁目５番４号,,食肉処理業,3931-1836,,198,日光畜産株式会社,03,03-3931-1836,,,,東京都　板橋区桜川１丁目５番４号,東京都板橋区桜川１丁目５番４号,,75074,13,13119,桜川１,,,2021/12/16,,,日光畜産株式会社,,,,,,,,,,3板保生食ほ 第  845号,新規,食肉販売業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),I,58,583,,日光畜産株式会社03-3931-18367507413119,006ca929-eac1-4679-8ca2-ec80c2bd923f,日光畜産株式会社,af26f55e-1f8a-49b4-9f79-d11818d73470,eb5bde06-b901-4efd-abb5-b7748853d41a,2021/12/16,日光畜産株式会社,日光畜産株式会社,日光畜産株式会社
ラックキッチン／ＳＥＡ　ＷＥＥＤ　ＮＯＯＤＬＥ．Ｍｅｒｃｉ．ＨｕｌｉＨｕｌｉ,株式会社ハイブリッドラボ,3板保生食ほ 第  950号,令和03年12月21日,新規,東京都,板橋区志村一丁目32番28号　サントーク志村１階,板橋区志村１丁目３２番２８号, サントーク志村１階,飲食店営業,,,198,ラックキッチン／ＳＥＡ　ＷＥＥＤ　ＮＯＯＤＬＥ．Ｍｅｒｃｉ．ＨｕｌｉＨｕｌｉ,03,,,,,東京都　板橋区志村１丁目３２番２８号,東京都板橋区志村１丁目３２番２８号, サントーク志村１階,75078,13,13119,志村１,,,2021/12/21,,,株式会社ハイブリッドラボ,,,,,,,,,,3板保生食ほ 第  950号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,ラックキッチンＳＥＡＷＥＥＤＮＯＯＤＬＥＭｅｒｃｉＨｕｌｉＨｕｌｉ7507813119,26198cf0-b0a4-45b3-b49a-e08a565f53a2,株式会社ハイブリッドラボ,c9518939-9656-4a17-9b97-3141cb1124c0,613eb856-65f6-45da-8bd7-6f6d6ec812e2,2021/12/21,ラックキッチン／ＳＥＡ　ＷＥＥＤ　ＮＯＯＤＬＥ．Ｍｅｒｃｉ．ＨｕｌｉＨｕｌｉ,ラックキッチンＳＥＡＷＥＥＤＮＯＯＤＬＥＭｅｒｃｉＨｕｌｉＨｕｌｉ,株式会社ハイブリッドラボ
原価酒場　志村坂上店,天澤合同会社,3板保生食ほ 第  930号,令和03年12月16日,新規,東京都,板橋区志村二丁目1番4号　ヒルトップ板橋１Ｆ,板橋区志村２丁目１番４号, ヒルトップ板橋１Ｆ,飲食店営業,6783-7889,,198,原価酒場　志村坂上店,03,03-6783-7889,,,,東京都　板橋区志村２丁目１番４号,東京都板橋区志村２丁目１番４号, ヒルトップ板橋１Ｆ,75079,13,13119,志村２,,,2021/12/16,,,天澤合同会社,,,,,,,,,,3板保生食ほ 第  930号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,原価酒場志村坂上店03-6783-78897507913119,7264f199-65c6-40ea-8785-0f57265cf35d,天澤合同会社,ba781594-4cea-41fe-be72-66d27190ba30,5ca4af1a-3602-46c8-b963-b5d4eeaa9d47,2021/12/16,原価酒場　志村坂上店,原価酒場志村坂上店,天澤合同会社
シェあらい,新井　秀行,3板保生食ほ 第  940号,令和03年12月17日,新規,東京都,板橋区志村三丁目14番1号,板橋区志村３丁目１４番１号,,菓子製造業,,,198,シェあらい,03,,,,,東京都　板橋区志村３丁目１４番１号,東京都板橋区志村３丁目１４番１号,,75080,13,13119,志村３,,,2021/12/17,,,,新井　秀行,,,,,,,,,3板保生食ほ 第  940号,新規,菓子製造業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),E,9,,,シェあらい7508013119,692e44bb-b4c7-4297-986d-5a3ba0d2ad16,,personal,43cbaaf8-0a2c-4fe4-b46c-a971db72e60f,2021/12/17,シェあらい,シェあらい,
香港達人,常楽商事合同会社,3板保生食ほ 第  937号,令和03年12月23日,新規,東京都,板橋区中板橋17番2号,板橋区中板橋１７番２号,,飲食店営業,,,198,香港達人,03,,,,,東京都　板橋区中板橋１７番２号,東京都板橋区中板橋１７番２号,,75106,13,13119,中板橋,,,2021/12/23,,,常楽商事合同会社,,,,,,,,,,3板保生食ほ 第  937号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,香港達人7510613119,bc592e17-133a-4637-834c-6cbbccfaab97,常楽商事合同会社,1e09ebfb-3125-4f67-a997-59b0ccbab004,3dbe122e-81e0-4527-8211-386543ca65f8,2021/12/23,香港達人,香港達人,常楽商事合同会社
パブ金太郎,根本　光枝,3板保生食ほ 第  796号,令和03年12月23日,新規,東京都,板橋区中台一丁目36番4号,板橋区中台１丁目３６番４号,,飲食店営業,,,198,パブ金太郎,03,,,,,東京都　板橋区中台１丁目３６番４号,東京都板橋区中台１丁目３６番４号,,75108,13,13119,中台１,,,2021/12/23,,,,根本　光枝,,,,,,,,,3板保生食ほ 第  796号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,パブ金太郎7510813119,e64f38cc-4a26-4c24-9c89-f44ccee47594,,personal,a293acd7-fa45-468d-9f2a-daa74b469444,2021/12/23,パブ金太郎,パブ金太郎,
江戸新,新井　順子,3板保生食ほ 第  949号,令和03年12月22日,新規,東京都,板橋区中丸町16番13号,板橋区中丸町１６番１３号,,飲食店営業,,,198,江戸新,03,,,,,東京都　板橋区中丸町１６番１３号,東京都板橋区中丸町１６番１３号,,75112,13,13119,中丸町,,,2021/12/22,,,,新井　順子,,,,,,,,,3板保生食ほ 第  949号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,江戸新7511213119,67160e7c-46b7-44be-92db-901051d37e83,,personal,839e741f-2361-4713-abbd-8910f0908433,2021/12/22,江戸新,江戸新,
ＲｅＣｅｌｌ　Ｄｅｌｉｃａ,株式会社ラスタイル,3板保生食ほ 第  875号,令和03年12月16日,新規,東京都,板橋区中丸町29番8号　メイスンビル１階,板橋区中丸町２９番８号, メイスンビル１階,そうざい製造業,,,198,ＲｅＣｅｌｌ　Ｄｅｌｉｃａ,03,,,,,東京都　板橋区中丸町２９番８号,東京都板橋区中丸町２９番８号, メイスンビル１階,75112,13,13119,中丸町,,,2021/12/16,,,株式会社ラスタイル,,,,,,,,,,3板保生食ほ 第  875号,新規,そうざい製造業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),E,9,,,ＲｅＣｅｌｌＤｅｌｉｃａ7511213119,55003a2d-7755-4637-a616-66afead30a6b,株式会社ラスタイル,7bbf065d-60b3-4294-9384-3330c92b37fd,40d34149-a0fb-4deb-ad89-96e5531b98b4,2021/12/16,ＲｅＣｅｌｌ　Ｄｅｌｉｃａ,ＲｅＣｅｌｌＤｅｌｉｃａ,株式会社ラスタイル
ボギー君,白根　渉,3板保生食ほ 第  774号,令和03年12月24日,新規,東京都,板橋区成増二丁目15番12号　幸昇ビル４階,板橋区成増２丁目１５番１２号, 幸昇ビル４階,飲食店営業,3930-4077,,198,ボギー君,03,03-3930-4077,,,,東京都　板橋区成増２丁目１５番１２号,東京都板橋区成増２丁目１５番１２号, 幸昇ビル４階,75114,13,13119,成増２,,,2021/12/24,,,,白根　渉,,,,,,,,,3板保生食ほ 第  774号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,ボギ君03-3930-40777511413119,28c7aaca-54c5-4ca5-a064-7cffedb3d53b,,personal,8b9e62ef-5aa6-4877-822b-3abeea27905b,2021/12/24,ボギー君,ボギ君,
焼肉ダイニングりょう,中村　亮太,3板保生食ほ 第  912号,令和03年12月20日,新規,東京都,板橋区蓮根二丁目18番29号　ウィンビル蓮根１階,板橋区蓮根２丁目１８番２９号, ウィンビル蓮根１階,飲食店営業,5918-7885,,198,焼肉ダイニングりょう,03,03-5918-7885,,,,東京都　板橋区蓮根２丁目１８番２９号,東京都板橋区蓮根２丁目１８番２９号, ウィンビル蓮根１階,75124,13,13119,蓮根２,,,2021/12/20,,,,中村　亮太,,,,,,,,,3板保生食ほ 第  912号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,焼肉ダイニングりょう03-5918-78857512413119,902504fe-cddb-4cec-aa40-7be6a425cdfb,,personal,ef4898b9-90b4-40f6-83ac-47042d29ccd9,2021/12/20,焼肉ダイニングりょう,焼肉ダイニングりょう,
ＡＳＩＡＮ　ＲＥＳＴＡＵＲＡＮＴ　ＴＡＲＡＫＨＯＬＡ　ＫＯＳＥＬＩ,株式会社Ｇｏｏｄ　Ｖｉｓｉｏｎ,3板保生食ほ 第  962号,令和03年12月27日,新規,東京都,板橋区東山町33番14号　サンロータリー１０２,板橋区東山町３３番１４号, サンロータリー１０２,飲食店営業,6796-6703,,198,ＡＳＩＡＮ　ＲＥＳＴＡＵＲＡＮＴ　ＴＡＲＡＫＨＯＬＡ　ＫＯＳＥＬＩ,03,03-6796-6703,,,,東京都　板橋区東山町３３番１４号,東京都板橋区東山町３３番１４号, サンロータリー１０２,75131,13,13119,東山町,,,2021/12/27,,,株式会社Ｇｏｏｄ　Ｖｉｓｉｏｎ,,,,,,,,,,3板保生食ほ 第  962号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,ＡＳＩＡＮＲＥＳＴＡＵＲＡＮＴＴＡＲＡＫＨＯＬＡＫＯＳＥＬＩ03-6796-67037513113119,ee36c2cc-a7a9-41c6-8bcf-fcf47b4d0f38,株式会社Ｇｏｏｄ　Ｖｉｓｉｏｎ,74ff92de-3f69-45ac-81b8-5b337a62ba42,e0e148cb-7b6b-436f-9319-37f3913eefa4,2021/12/27,ＡＳＩＡＮ　ＲＥＳＴＡＵＲＡＮＴ　ＴＡＲＡＫＨＯＬＡ　ＫＯＳＥＬＩ,ＡＳＩＡＮＲＥＳＴＡＵＲＡＮＴＴＡＲＡＫＨＯＬＡＫＯＳＥＬＩ,株式会社Ｇｏｏｄ　Ｖｉｓｉｏｎ
ラーメン慶次郎,伊藤　雅之,3板保生食ほ 第  959号,令和03年12月24日,新規,東京都,板橋区本町14番14号,板橋区本町１４番１４号,,飲食店営業,,,198,ラーメン慶次郎,03,,,,,東京都　板橋区本町１４番１４号,東京都板橋区本町１４番１４号,,75138,13,13119,本町,,,2021/12/24,,,,伊藤　雅之,,,,,,,,,3板保生食ほ 第  959号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,ラメン慶次郎7513813119,9ba27c48-779b-4f99-9b1e-5a0dff823ef0,,personal,2b9a6985-f2d0-4769-b51d-fbe7337e5f8d,2021/12/24,ラーメン慶次郎,ラメン慶次郎,
居酒屋金ちゃん,金野　道博,3板保生食ほ 第  948号,令和03年12月24日,新規,東京都,板橋区南常盤台一丁目27番7号,板橋区南常盤台１丁目２７番７号,,飲食店営業,3958-8177,,198,居酒屋金ちゃん,03,03-3958-8177,,,,東京都　板橋区南常盤台１丁目２７番７号,東京都板橋区南常盤台１丁目２７番７号,,75148,13,13119,南常盤台１,,,2021/12/24,,,,金野　道博,,,,,,,,,3板保生食ほ 第  948号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,居酒屋金ちゃん03-3958-81777514813119,aafbbbba-23c7-4924-b30e-8cb1b6a5c5e7,,personal,7b91687f-42b2-4de1-a12b-71cfe48c368e,2021/12/24,居酒屋金ちゃん,居酒屋金ちゃん,
夏海広,大木　美知代,3板保生食ほ 第  935号,令和03年12月22日,新規,東京都,板橋区南常盤台一丁目31番4号　加藤ハイツ１Ｆ,板橋区南常盤台１丁目３１番４号, 加藤ハイツ１Ｆ,飲食店営業,,,198,夏海広,03,,,,,東京都　板橋区南常盤台１丁目３１番４号,東京都板橋区南常盤台１丁目３１番４号, 加藤ハイツ１Ｆ,75148,13,13119,南常盤台１,,,2021/12/22,,,,大木　美知代,,,,,,,,,3板保生食ほ 第  935号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,夏海広7514813119,3471920e-139a-44ca-b18c-4274fcb19bab,,personal,6c7e1572-57d2-4244-a1b5-6203e2b8bfa7,2021/12/22,夏海広,夏海広,
榮太楼,有限会社栄太楼,3板保生食ほ 第  936号,令和03年12月21日,新規,東京都,板橋区南常盤台一丁目39番3号,板橋区南常盤台１丁目３９番３号,,菓子製造業,,,198,榮太楼,03,,,,,東京都　板橋区南常盤台１丁目３９番３号,東京都板橋区南常盤台１丁目３９番３号,,75148,13,13119,南常盤台１,,,2021/12/21,,,有限会社栄太楼,,,,,,,,,,3板保生食ほ 第  936号,新規,菓子製造業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),E,9,,,榮太楼7514813119,0fbb9bd4-c01b-4819-b4d1-8f6cb9e339b3,有限会社栄太楼,79a8e57c-c161-45c4-9165-8995fe09283e,2abce74c-be51-4eba-8323-14d930f91f64,2021/12/21,榮太楼,榮太楼,有限会社栄太楼
アリーズケバブ,TAVAKOLI　ALI,3板保生食ほ 第  951号,令和03年12月16日,新規,東京都,都内一円,都内一円,,飲食店営業（自動車）,,,198,アリーズケバブ,,,,,,東京都　都内一円,東京都都内一円,,,13,,,,,2021/12/16,,,,TAVAKOLI　ALI,,,,,,,,,3板保生食ほ 第  951号,新規,飲食店営業,自動車,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,アリズケバブ,fd6c5da4-4b07-46a8-9255-044a8eef7795,,personal,3173315a-1ec5-49b0-8aeb-739218a27733,2021/12/16,アリーズケバブ,アリズケバブ,
